name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Lacimicrobium,43,44,28
Paraglaciecola,40,60,60
Halioxenophilus,40,35,45
Neptunicella,27,36,17
Planctobacterium,13,13,18
Paraneptunicella,12,5,10
Catenovulum,8,16,13
Saccharobesus,8,8,8
Ningiella,8,15,22
Aliiglaciecola,7,4,16
Brumicola,3,9,9
Gayadomonas,2,2,2
Pseudoalteromonas,478,461,522
Flocculibacter,11,14,15
Psychrosphaera,8,4,15
Ferrimonas,341,348,435
Thalassotalea,150,141,125
Thalassomonas,106,131,123
Colwellia,66,63,52
Litorilituus,10,8,8
Cognaticolwellia,3,3,6
Idiomarina,137,139,162
Pseudidiomarina,43,48,51
Psychromonas,43,36,48
Moritella,26,35,49
Sulfurifustis,2080,1849,2149
Sulfuricaulis,689,650,763
Acidiferrobacter,545,529,617
Vibrio,2061,2009,2200
Photobacterium,436,455,498
Grimontia,74,86,84
Salinivibrio,69,90,97
Enterovibrio,55,62,63
Thaumasiovibrio,33,23,22
Aliivibrio,18,18,29
Paraphotobacterium,1,4,9
Solimonas,1032,928,1337
Flagellatimonas,414,404,470
Sinimarinibacterium,147,156,210
Algiphilus,277,303,342
Acinetobacter,798,820,825
Psychrobacter,185,199,223
Moraxella,177,173,204
Aquirhabdus,42,30,32
Faucicola,8,6,6
Alkanindiges,7,8,17
Thiohalobacter,968,970,1179
Immundisolibacter,744,749,872
Thiomicrorhabdus,111,91,93
Methylophaga,80,81,73
Thiomicrospira,58,64,53
Hydrogenovibrio,34,28,39
Piscirickettsia,24,14,33
Thiosulfativibrio,10,11,9
Thiosulfatimonas,5,14,7
Cycloclasticus,3,7,9
Thiothrix,266,297,289
Beggiatoa,15,11,13
Francisella,30,38,34
Allofrancisella,NA,3,3
Cysteiniphilum,25,15,8
Steroidobacter,687,1152,1452
Legionella,388,298,409
Fluoribacter,11,15,10
Aquicella,72,54,74
Rickettsiella,64,59,51
Coxiella,49,39,41
Salinisphaera,431,454,565
Haemophilus,61,53,66
Mannheimia,48,40,50
Actinobacillus,45,54,41
Aggregatibacter,42,65,63
Pasteurella,36,30,27
Gallibacterium,18,18,33
Glaesserella,15,9,11
Avibacterium,14,21,32
Lonepinella,13,12,18
Rodentibacter,12,14,13
Bibersteinia,8,5,11
Basfia,7,4,10
Mergibacter,3,3,6
Histophilus,2,2,8
Vespertiliibacter,2,1,1
Frederiksenia,2,2,3
Bisgaardia,NA,4,NA
Otariodibacter,NA,4,3
Sulfurivermis,336,355,410
Cardiobacterium,212,226,310
Suttonella,17,7,19
Dichelobacter,7,11,9
Ignatzschineria,13,12,18
Wohlfahrtiimonas,7,16,4
Candidatus Reidiella,107,87,121
Candidatus Vondammii,41,39,49
Candidatus Pseudothioglobus,13,6,10
Candidatus Vesicomyosocius,5,3,8
Candidatus Thiodubiliella,4,9,10
Candidatus Thioglobus,3,5,5
Candidatus Ruthturnera,3,4,6
Celerinatantimonas,13,10,12
Candidatus Palibaumannia,11,8,12
Candidatus Steffania,5,4,2
Candidatus Competibacter,5,5,8
Candidatus Nardonella,1,NA,NA
Candidatus Azoamicus,NA,NA,1
Woeseia,166,191,285
Gilliamella,34,22,38
Orbus,16,12,19
Utexia,7,11,9
Zophobihabitans,4,6,5
Frischella,2,NA,1
Kangiella,63,46,60
Candidatus Comchoanobacter,11,11,11
Candidatus Portiera,5,5,2
Acidithiobacillus,977,900,1038
Thermithiobacillus,545,532,607
Hydrogenophilus,288,301,308
Mariprofundus,109,130,109
Magnetococcus,66,56,48
Archangium,12191,12665,13935
Cystobacter,2557,2682,3358
Stigmatella,1449,1567,2191
Melittangium,1130,1124,1362
Myxococcus,7500,7864,10708
Corallococcus,5368,5459,7252
Pyxidicoccus,1806,2394,3001
Anaeromyxobacter,14637,13226,16342
Vulgatibacter,1741,1543,1826
Pendulispora,4940,4720,5957
Sorangium,16648,12870,18077
Polyangium,3571,2960,4433
Chondromyces,1811,1684,2254
Pajaroellobacter,20,24,29
Sandaracinus,5824,5512,7626
Labilithrix,2277,2081,2824
Nannocystis,3978,4337,6319
Haliangium,2636,2480,3424
Gemmata,5283,5527,7904
Urbifossiella,4278,4380,5454
Frigoriglobus,2864,2871,4184
Limnoglobus,2457,2519,3138
Tuwongella,490,483,473
Telmatocola,425,415,441
Stieleria,2021,1847,2206
Bremerella,966,803,1049
Rosistilla,885,798,1090
Lignipirellula,881,866,1046
Anatilimnocola,761,739,1060
Roseimaritima,547,490,617
Blastopirellula,354,351,443
Rhodopirellula,352,352,421
Rubripirellula,262,258,281
Aureliella,176,163,154
Pirellula,169,142,189
Mariniblastus,156,156,197
Lacipirellula,2270,2340,3338
Pirellulimonas,1443,1384,1639
Botrimarina,1175,1169,1523
